step,visits,eligible,absorptions
0,925,0,0
1,876,164,164
2,843,154,154
3,815,154,154
4,797,145,145
5,787,142,142
6,776,132,132
7,774,132,132
8,776,129,129
9,774,129,129
10,772,129,129
11,771,121,121
12,773,118,118
13,772,114,114
14,775,113,113
15,773,112,112
16,780,110,110
17,788,112,112
18,791,109,109
19,800,108,108
20,802,103,103
21,806,103,103
22,808,101,101
23,814,104,104
24,819,101,101
25,826,100,100
26,828,102,102
27,836,101,101
28,843,97,97
29,842,98,98
30,854,0,0
31,864,95,95
32,869,92,92
33,882,93,93
34,885,93,93
35,898,94,94
36,910,96,96
37,905,95,95
38,917,97,97
39,931,96,96
40,947,94,94
41,956,96,96
42,958,94,94
43,968,96,96
44,976,96,96
45,986,99,99
46,988,94,94
47,996,93,93
48,1002,89,89
49,1010,90,90
50,1005,91,91
51,1016,88,88
52,1024,88,88
53,1031,89,89
54,1034,90,90
55,1043,93,93
56,1056,97,97
57,1060,94,94
58,1069,93,93
59,1081,96,96
60,1092,0,0
61,1091,95,95
62,1097,88,88
63,1103,95,95
64,1108,88,88
65,1111,86,86
66,1112,86,86
67,1117,79,79
68,1113,83,83
69,1107,87,87
70,1103,89,89
71,1101,89,89
72,1100,85,85
73,1099,92,92
74,1098,95,95
75,1102,90,90
76,1104,91,91
77,1105,87,87
78,1110,94,94
79,1109,93,93
80,1109,98,98
81,1112,92,92
82,1103,82,82
83,1095,82,82
84,1093,84,84
85,1093,89,89
86,1092,89,89
87,1089,87,87
88,1087,82,82
89,1080,83,83
90,1074,83,0
91,1067,82,82
92,1067,83,83
93,1060,76,76
94,1058,76,76
95,1047,73,73
96,1040,78,78
97,1035,75,75
98,1033,78,78
99,1028,74,74
100,1025,77,77
101,1019,78,78
102,1017,77,77
103,1015,78,78
104,1010,78,78
105,998,77,77
106,985,67,67
107,980,67,67
108,967,69,69
109,961,68,68
110,954,70,70
111,947,70,70
112,939,72,72
113,935,68,68
114,928,73,73
115,922,70,70
116,915,70,70
117,907,68,68
118,901,71,71
119,897,69,69
120,890,0,0
121,886,68,68
122,878,65,65
123,873,68,68
124,868,64,64
125,867,64,64
126,862,63,63
127,857,69,69
128,859,61,61
129,855,56,56
130,856,60,60
131,854,56,56
132,855,51,51
133,857,55,55
134,857,56,56
135,859,54,54
136,858,53,53
137,863,51,51
138,864,52,52
139,867,46,46
140,870,45,45
141,874,47,47
142,877,44,44
143,882,46,46
144,885,48,48
145,889,46,46
146,890,46,46
147,898,43,43
148,897,41,41
149,904,45,45
