step,visits,eligible,absorptions
0,925,0,0
1,876,0,0
2,843,0,0
3,815,0,0
4,797,0,0
5,787,0,0
6,776,0,0
7,774,0,0
8,776,0,0
9,774,0,0
10,772,0,0
11,771,0,0
12,773,0,0
13,772,0,0
14,775,0,0
15,773,0,0
16,780,0,0
17,788,0,0
18,791,0,0
19,800,0,0
20,802,0,0
21,806,0,0
22,808,0,0
23,814,0,0
24,819,0,0
25,826,0,0
26,828,0,0
27,836,0,0
28,843,0,0
29,842,0,0
30,854,0,0
31,864,0,0
32,869,0,0
33,882,0,0
34,885,0,0
35,898,0,0
36,910,0,0
37,905,0,0
38,917,0,0
39,931,0,0
40,947,0,0
41,956,0,0
42,958,0,0
43,968,1,1
44,976,1,1
45,986,1,1
46,988,1,1
47,996,1,1
48,1002,1,1
49,1010,1,1
50,1005,1,1
51,1016,1,1
52,1024,1,1
53,1031,1,1
54,1034,1,1
55,1043,1,1
56,1056,1,1
57,1060,0,0
58,1069,0,0
59,1081,0,0
60,1092,0,0
61,1091,0,0
62,1097,0,0
63,1103,0,0
64,1108,0,0
65,1111,1,1
66,1112,0,0
67,1117,0,0
68,1113,0,0
69,1107,0,0
70,1103,0,0
71,1101,0,0
72,1100,0,0
73,1099,0,0
74,1098,0,0
75,1102,0,0
76,1104,1,1
77,1105,1,1
78,1110,1,1
79,1109,1,1
80,1109,1,1
81,1112,1,1
82,1103,1,1
83,1095,1,1
84,1093,1,1
85,1093,1,1
86,1092,1,1
87,1089,1,1
88,1087,1,1
89,1080,1,1
90,1074,0,0
91,1067,0,0
92,1067,0,0
93,1060,0,0
94,1058,0,0
95,1047,1,1
96,1040,0,0
97,1035,2,2
98,1033,2,2
99,1028,3,3
100,1025,4,4
101,1019,5,5
102,1017,5,5
103,1015,5,5
104,1010,5,5
105,998,5,5
106,985,5,5
107,980,5,5
108,967,5,5
109,961,5,5
110,954,5,5
111,947,4,4
112,939,5,5
113,935,4,4
114,928,4,4
115,922,4,4
116,915,4,4
117,907,4,4
118,901,4,4
119,897,4,4
120,890,0,0
121,886,5,5
122,878,5,5
123,873,5,5
124,868,5,5
125,867,4,4
126,862,4,4
127,857,4,4
128,859,3,3
129,855,2,2
130,856,2,2
131,854,2,2
132,855,3,3
133,857,3,3
134,857,2,2
135,859,2,2
136,858,1,1
137,863,1,1
138,864,1,1
139,867,0,0
140,870,0,0
141,874,0,0
142,877,0,0
143,882,0,0
144,885,0,0
145,889,0,0
146,890,0,0
147,898,1,1
148,897,1,1
149,904,1,1
