step,visits,eligible,absorptions
0,925,0,0
1,876,0,0
2,843,0,0
3,815,0,0
4,797,0,0
5,787,0,0
6,776,0,0
7,774,0,0
8,776,0,0
9,774,0,0
10,772,0,0
11,771,0,0
12,773,0,0
13,772,0,0
14,775,2,2
15,773,1,1
16,780,1,1
17,788,1,1
18,791,1,1
19,800,4,4
20,802,4,4
21,806,3,3
22,808,4,4
23,814,8,8
24,819,8,8
25,826,5,5
26,828,5,5
27,836,6,6
28,843,6,6
29,842,6,6
30,854,0,0
31,864,6,6
32,869,8,8
33,882,7,7
34,885,10,10
35,898,9,9
36,910,11,11
37,905,11,11
38,917,9,9
39,931,13,13
40,947,13,13
41,956,14,14
42,958,13,13
43,968,12,12
44,976,13,13
45,986,12,12
46,988,15,15
47,996,15,15
48,1002,16,16
49,1010,16,16
50,1005,18,18
51,1016,15,15
52,1024,16,16
53,1031,17,17
54,1034,17,17
55,1043,16,16
56,1056,17,17
57,1060,17,17
58,1069,16,16
59,1081,14,14
60,1092,0,0
61,1091,17,17
62,1097,17,17
63,1103,17,17
64,1108,16,16
65,1111,16,16
66,1112,16,16
67,1117,15,15
68,1113,18,18
69,1107,20,20
70,1103,20,20
71,1101,20,20
72,1100,20,20
73,1099,19,19
74,1098,21,21
75,1102,17,17
76,1104,17,17
77,1105,19,19
78,1110,14,14
79,1109,18,18
80,1109,18,18
81,1112,19,19
82,1103,21,21
83,1095,22,22
84,1093,17,17
85,1093,17,17
86,1092,17,17
87,1089,17,17
88,1087,17,17
89,1080,18,18
90,1074,17,0
91,1067,16,16
92,1067,19,19
93,1060,19,19
94,1058,17,17
95,1047,20,20
96,1040,19,19
97,1035,18,18
98,1033,17,17
99,1028,15,15
100,1025,15,15
101,1019,16,16
102,1017,18,18
103,1015,17,17
104,1010,16,16
105,998,17,17
106,985,16,16
107,980,13,13
108,967,14,14
109,961,13,13
110,954,13,13
111,947,13,13
112,939,17,17
113,935,14,14
114,928,14,14
115,922,13,13
116,915,13,13
117,907,13,13
118,901,12,12
119,897,15,15
120,890,0,0
121,886,10,10
122,878,8,8
123,873,9,9
124,868,9,9
125,867,9,9
126,862,11,11
127,857,11,11
128,859,11,11
129,855,10,10
130,856,11,11
131,854,12,12
132,855,10,10
133,857,12,12
134,857,11,11
135,859,10,10
136,858,14,14
137,863,11,11
138,864,12,12
139,867,14,14
140,870,12,12
141,874,13,13
142,877,10,10
143,882,11,11
144,885,15,15
145,889,16,16
146,890,14,14
147,898,13,13
148,897,12,12
149,904,12,12
