step,visits,eligible,absorptions
0,925,0,0
1,876,155,155
2,843,149,149
3,815,141,141
4,797,132,132
5,787,128,128
6,776,127,127
7,774,126,126
8,776,127,127
9,774,127,127
10,772,124,124
11,771,118,118
12,773,111,111
13,772,110,110
14,775,108,108
15,773,104,104
16,780,101,101
17,788,98,98
18,791,98,98
19,800,96,96
20,802,98,98
21,806,93,93
22,808,97,97
23,814,93,93
24,819,90,90
25,826,89,89
26,828,87,87
27,836,83,83
28,843,77,77
29,842,78,78
30,854,0,0
31,864,79,79
32,869,73,73
33,882,75,75
34,885,73,73
35,898,71,71
36,910,69,69
37,905,68,68
38,917,65,65
39,931,63,63
40,947,64,64
41,956,67,67
42,958,70,70
43,968,69,69
44,976,69,69
45,986,68,68
46,988,67,67
47,996,69,69
48,1002,66,66
49,1010,65,65
50,1005,66,66
51,1016,63,63
52,1024,63,63
53,1031,63,63
54,1034,62,62
55,1043,64,64
56,1056,64,64
57,1060,62,62
58,1069,61,61
59,1081,60,60
60,1092,0,0
61,1091,58,58
62,1097,59,59
63,1103,58,58
64,1108,58,58
65,1111,57,57
66,1112,59,59
67,1117,60,60
68,1113,57,57
69,1107,56,56
70,1103,55,55
71,1101,56,56
72,1100,52,52
73,1099,55,55
74,1098,55,55
75,1102,56,56
76,1104,53,53
77,1105,55,55
78,1110,55,55
79,1109,51,51
80,1109,51,51
81,1112,51,51
82,1103,48,48
83,1095,45,45
84,1093,49,49
85,1093,45,45
86,1092,45,45
87,1089,45,45
88,1087,46,46
89,1080,48,48
90,1074,47,0
91,1067,44,44
92,1067,40,40
93,1060,44,44
94,1058,41,41
95,1047,42,42
96,1040,41,41
97,1035,41,41
98,1033,41,41
99,1028,42,42
100,1025,43,43
101,1019,43,43
102,1017,43,43
103,1015,44,44
104,1010,42,42
105,998,42,42
106,985,38,38
107,980,38,38
108,967,39,39
109,961,39,39
110,954,38,38
111,947,37,37
112,939,36,36
113,935,37,37
114,928,36,36
115,922,36,36
116,915,33,33
117,907,31,31
118,901,35,35
119,897,34,34
120,890,0,0
121,886,32,32
122,878,31,31
123,873,29,29
124,868,28,28
125,867,28,28
126,862,29,29
127,857,28,28
128,859,25,25
129,855,24,24
130,856,23,23
131,854,21,21
132,855,22,22
133,857,21,21
134,857,20,20
135,859,18,18
136,858,18,18
137,863,20,20
138,864,19,19
139,867,16,16
140,870,16,16
141,874,16,16
142,877,16,16
143,882,15,15
144,885,18,18
145,889,18,18
146,890,18,18
147,898,18,18
148,897,18,18
149,904,18,18
