step,visits,eligible,absorptions
0,925,0,0
1,876,0,0
2,843,0,0
3,815,0,0
4,797,0,0
5,787,0,0
6,776,0,0
7,774,0,0
8,776,0,0
9,774,0,0
10,772,0,0
11,771,0,0
12,773,0,0
13,772,0,0
14,775,0,0
15,773,0,0
16,780,0,0
17,788,0,0
18,791,0,0
19,800,0,0
20,802,0,0
21,806,0,0
22,808,0,0
23,814,0,0
24,819,0,0
25,826,0,0
26,828,0,0
27,836,0,0
28,843,0,0
29,842,0,0
30,854,0,0
31,864,0,0
32,869,0,0
33,882,0,0
34,885,0,0
35,898,0,0
36,910,0,0
37,905,0,0
38,917,0,0
39,931,0,0
40,947,0,0
41,956,0,0
42,958,0,0
43,968,0,0
44,976,0,0
45,986,0,0
46,988,0,0
47,996,0,0
48,1002,0,0
49,1010,0,0
50,1005,0,0
51,1016,0,0
52,1024,0,0
53,1031,0,0
54,1034,0,0
55,1043,0,0
56,1056,0,0
57,1060,0,0
58,1069,0,0
59,1081,0,0
60,1092,0,0
61,1091,0,0
62,1097,0,0
63,1103,0,0
64,1108,0,0
65,1111,0,0
66,1112,0,0
67,1117,0,0
68,1113,0,0
69,1107,0,0
70,1103,0,0
71,1101,0,0
72,1100,0,0
73,1099,0,0
74,1098,0,0
75,1102,0,0
76,1104,0,0
77,1105,0,0
78,1110,0,0
79,1109,0,0
80,1109,0,0
81,1112,0,0
82,1103,0,0
83,1095,0,0
84,1093,0,0
85,1093,0,0
86,1092,0,0
87,1089,0,0
88,1087,0,0
89,1080,0,0
90,1074,0,0
91,1067,0,0
92,1067,0,0
93,1060,0,0
94,1058,0,0
95,1047,0,0
96,1040,0,0
97,1035,0,0
98,1033,0,0
99,1028,0,0
100,1025,0,0
101,1019,0,0
102,1017,0,0
103,1015,0,0
104,1010,0,0
105,998,0,0
106,985,0,0
107,980,0,0
108,967,0,0
109,961,0,0
110,954,0,0
111,947,0,0
112,939,0,0
113,935,0,0
114,928,0,0
115,922,0,0
116,915,0,0
117,907,0,0
118,901,0,0
119,897,0,0
120,890,0,0
121,886,0,0
122,878,0,0
123,873,0,0
124,868,0,0
125,867,0,0
126,862,0,0
127,857,0,0
128,859,0,0
129,855,0,0
130,856,0,0
131,854,0,0
132,855,0,0
133,857,0,0
134,857,0,0
135,859,0,0
136,858,0,0
137,863,0,0
138,864,0,0
139,867,1,1
140,870,1,1
141,874,0,0
142,877,0,0
143,882,0,0
144,885,0,0
145,889,1,1
146,890,2,2
147,898,3,3
148,897,3,3
149,904,3,3
