step,Zostera marina,Halophila ovalis,Posidonia oceanica,Macrocystis pyrifera,Saccharina japonica,Chlorella vulgaris,Nannochloropsis gaditana,Spartina alterniflora,Rhizophora spp.
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14054772320050674,0.0694677416978054
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14054772320050674,0.0694677416978054
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4541465239725437,0.10627118031823568
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4541465239725437,0.10627118031823568
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5620564782788109,0.1232086991129265
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.1232086991129265
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.1232086991129265
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978867472268101,0.14288288492894194
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086167873758817,0.151656560352424
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086167873758817,0.151656560352424
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086167873758817,0.151656560352424
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086167873758817,0.151656560352424
