step,Zostera marina,Halophila ovalis,Posidonia oceanica,Macrocystis pyrifera,Saccharina japonica,Chlorella vulgaris,Nannochloropsis gaditana,Spartina alterniflora,Rhizophora spp.
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14054772320050674,0.0694677416978054
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1403853561037225,0.0694195903285077
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4538219773528008,0.10617491095562616
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4532977016460037,0.10610131611545107
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5606839859125206,0.12296529108202277
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958665273204858,0.12288005803720253
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5951781553148154,0.12279488407142701
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944905785476698,0.14238395495976114
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5938037961003536,0.1422852619228238
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931178070552323,0.14218663729468678
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5924326104957319,0.14208808102793266
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5917482055063371,0.14198959307517697
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5910645911725902,0.14189117338906806
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5903817665810901,0.1417928219222871
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5896997308194907,0.14169453862754802
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5890184829764998,0.1415963234575976
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5883380221418784,0.1414981763652153
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876583474064386,0.1414000973032134
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5869794578620432,0.1413020862244368
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5863013526016038,0.1412041430817631
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58562403071908,0.1411062678281026
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849474913094782,0.14100846041639822
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5842717334688502,0.1409107207996255
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5835967562942922,0.14081304893079258
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5829225588839433,0.14071544476294015
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929791804860561,0.14939158367262356
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922941440742484,0.14928803331760152
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916098990475364,0.1491845547382161
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909264444916761,0.14908114788471621
