step,Zostera marina,Halophila ovalis,Posidonia oceanica,Macrocystis pyrifera,Saccharina japonica,Chlorella vulgaris,Nannochloropsis gaditana,Spartina alterniflora,Rhizophora spp.
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12973635987739085,0.12864396610704704
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12973635987739085,0.12864396610704704
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024470149975641,0.3729481035075801
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024470149975641,0.3729481035075801
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6003076289715807,0.4098174552323958
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6278693743161956,0.4098174552323958
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6278693743161956,0.4098174552323958
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641020907788078,0.4207475584635155
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6712762465724758,0.4207475584635155
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6712762465724758,0.4207475584635155
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
