x_bin,y_bin,amount
0,3,22.748674358531773
0,4,14.262786970464862
0,0,93.36706610840268
0,1,65.95181031158671
0,2,26.60027305170824
1,2,55.04702384469296
1,8,145.21349231248234
1,7,176.78453298713504
1,9,21.99389922146559
1,5,74.9776204454486
1,3,50.52738534012546
1,6,258.83376709162786
2,3,93.48755464671933
2,6,304.0646200329328
2,9,1.9567586177305472
2,2,95.51244968502336
2,0,33.65336706531063
2,1,103.0896430214762
3,1,64.72051644896368
3,2,39.53461409422444
3,9,158.14386573295306
4,0,337.178724347847
4,1,101.56742926678913
4,7,116.69741408671155
4,2,23.640408118913513
5,2,54.11945327573087
5,9,54.761919840298866
6,8,262.8146856675353
6,2,204.82799691430037
6,7,238.01709961041885
7,2,125.51331483261623
7,3,325.8562823503558
7,7,124.20408505104791
7,8,166.27963495317246
7,0,209.47712293337923
7,5,188.89978093286507
8,0,80.38858501308589
8,1,127.59473584022234
8,5,316.61656881935085
8,4,217.58357063992653
8,2,48.72886899896271
8,8,182.19918119055734
9,2,154.4877338349924
9,3,499.63247700433567
9,8,70.70821912350746
9,1,209.9040992565024
9,6,291.142107728718
9,7,128.80715149474858
9,9,184.97617073722807
3,0,30.094353061210562
5,1,42.77363315596078
7,1,168.2813425655322
1,4,27.906196837141692
2,5,20.37916385585744
2,4,62.0
