x_bin,y_bin,amount
1,4,85.57836462253793
1,5,135.3398640332383
1,3,186.8167909800751
1,6,94.14851993053256
2,3,304.81699097483454
2,4,45.031282026453894
2,5,74.75128053162737
2,6,187.57396022041502
2,2,396.99901042007303
3,1,237.29926228342384
3,2,105.6337177068558
3,6,175.8750954546365
4,2,75.53750874906723
4,4,164.75751629378792
4,5,119.13325540593968
4,7,395.08904066334503
4,1,49.97525686406429
5,1,39.63916230999948
5,5,107.35335488097785
5,6,204.18699735357782
5,4,80.10605179564591
5,2,66.68139937438617
5,3,74.55360773310103
6,2,112.69784900320309
6,6,93.94544367809198
6,7,55.79497141034183
6,8,312.97168619190916
6,3,150.23842486167678
6,5,22.438616001929724
7,2,356.1839084996358
7,3,123.84527440898077
7,5,16.648528031738945
7,7,95.99555707065613
8,5,166.0393854098674
8,4,191.88480084593962
