x_bin,y_bin,amount
1,4,23.456029845928224
1,5,67.44528750615254
1,3,60.478108692320674
1,6,124.34732708050716
2,3,54.001968938334585
2,4,34.5706647190449
2,5,54.00216470568126
2,6,167.00909424994853
2,2,198.80531761796274
3,1,342.8224645753306
3,2,78.30489271231295
3,6,214.62504009839603
4,1,133.69363496079987
4,2,76.0987919542194
4,7,472.92939708859734
4,0,267.21607709296836
5,1,55.99426096102104
5,2,126.96429702738165
5,6,258.67870411450554
6,2,79.02553458753505
6,3,425.4337452800946
6,6,94.44936675174046
6,8,366.1608568521872
6,7,144.92423835090028
6,5,294.56159906020906
7,3,53.35940780744996
7,5,89.19141582953203
7,2,214.6887552698429
7,7,22.764757986584492
7,8,155.6919188149497
8,5,166.75806883534102
8,4,189.34860367878883
2,1,51.36636977613222
5,3,56.152028558329135
