x_bin,y_bin,amount
0,3,33.630327436988615
0,4,93.56769483938025
0,0,158.3433250333658
0,1,24.861149215124065
0,2,118.98405210366201
1,2,137.74703936523713
1,7,136.0416599826815
1,8,370.0463107978619
1,9,123.30249620792037
2,9,10.21619366977133
2,0,101.06895172892253
2,1,85.72561282305773
3,9,195.5624015477074
4,0,212.1186794716724
5,9,318.12941151624744
7,0,111.27428798263136
7,1,71.20848451255418
8,0,47.0700205427851
8,1,364.20867275149726
8,2,274.3104996086848
8,8,529.6506041075938
9,2,243.77375244552593
9,3,1034.4899053059162
9,8,80.58346236236355
9,1,181.5082750730331
9,6,840.3977783662389
9,7,331.07742148978525
9,9,202.9844245726292
3,0,28.94817094724686
