x_bin,y_bin,amount
1,4,68.8775240921645
1,5,75.98279125086637
1,3,86.85306337351929
1,6,157.4048968221881
2,3,134.033756191444
2,5,97.4515586694419
2,6,144.52152175351927
2,2,132.27984088535058
2,4,98.3033765435409
3,1,169.83759859697963
3,2,77.18702830306744
3,6,207.86234811284507
4,0,148.7090567849209
4,1,153.26152754606926
4,2,104.68077771530562
4,7,396.56582364077985
5,1,21.420867702534707
5,2,222.85696566337225
5,6,173.88826310586842
5,3,240.69581296144477
6,2,51.192359692140556
6,6,37.81010247037416
6,8,547.3203394555177
6,3,350.436673939807
6,7,322.14635368466656
6,5,248.08399033046854
7,2,253.49239118002527
7,3,44.545981358377816
7,5,95.27569215968549
7,7,79.93308412800073
7,8,110.97464294122172
8,5,51.34749208560502
8,4,84.92711643349656
2,1,52.798883348694744
