x_bin,y_bin,amount
0,3,124.52321095957278
0,4,15.73668981272171
0,0,157.21507566592945
0,1,42.979917316103545
0,2,98.61981226496097
1,2,99.55568708515113
1,8,320.2330385365326
1,7,73.18447446515135
1,9,309.1928544930696
2,9,12.392165891625428
2,0,140.0763599366505
2,1,68.8117602679869
3,9,133.9272818940078
5,9,172.95432333011613
7,0,360.37888202834705
7,1,268.9425349483289
8,0,62.007623955083545
8,1,311.74383281370643
8,2,318.0609289747463
8,8,189.98140553706523
9,2,219.1946583673032
9,8,233.76887397126615
9,1,343.56000409689403
9,3,552.6244129381689
9,6,398.86908390456415
9,7,347.13997352909655
9,9,122.21043418450418
3,0,112.04459248335158
4,0,164.99541450301703
