x_bin,y_bin,amount
0,3,103.50583195070668
0,0,250.63264238490012
0,1,40.00318557244053
0,2,220.93319118849817
1,2,79.41038644696454
1,7,47.999672207289414
1,8,189.97896308099666
1,9,252.1586158399245
1,5,50.04277121578478
1,3,95.15530907326918
1,4,18.673373726442712
1,6,147.46305039742782
2,3,100.64430116212395
2,4,28.127717881039683
2,6,73.65266485738765
2,9,41.36706818048586
2,2,136.39782559275974
2,5,67.80441249642024
2,1,42.368690133437156
2,0,104.95414268972799
3,2,46.80209511009692
3,9,54.037374029564134
3,1,56.568748869698915
4,0,130.62175506834524
4,1,179.46304373102387
4,2,192.3386621441215
4,7,143.1065755586396
5,1,95.65244681389157
5,2,68.4618966496527
5,9,186.07059060431607
6,2,115.89863549225274
6,3,249.33513097167076
6,6,173.19281262737448
6,7,438.2326047343806
6,8,214.55537166629733
7,3,46.48542357797725
7,2,107.94117783882997
7,8,11.97951378709195
7,0,148.61794667797503
7,7,86.25333562720485
7,1,97.68828157183401
7,5,313.5037209376278
8,0,6.793475571012463
8,1,71.03004607058091
8,5,262.0571119528339
8,2,30.087052668705123
8,4,537.1364501204253
8,8,159.22236068452153
9,2,199.3238213089292
9,3,121.64834554801634
9,8,39.193580892537426
9,6,122.55517012916982
9,1,209.94739909963664
9,7,86.1495160405129
9,9,225.69363885687844
0,4,26.948357665693294
3,0,48.154644316098285
3,6,11.478661659887965
