Step,Absorbed_Step,Absorbed_Cumulative
0,354.04369248906755,354.04369248906755
1,119.79833339096194,473.8420258800295
2,105.61959232021968,579.4616182002492
3,110.21833141684533,689.6799496170945
4,93.79310334558318,783.4730529626777
5,98.23886989513926,881.711922857817
6,114.04703648364227,995.7589593414592
7,58.755071187880844,1054.51403052934
8,100.61336054338085,1155.127391072721
9,123.08032782295777,1278.2077188956787
10,57.63899598965236,1335.846714885331
11,82.21124115748444,1418.0579560428155
12,66.57982492780343,1484.637780970619
13,79.15390573032914,1563.791686700948
14,53.473876924232854,1617.265563625181
15,81.66381774181787,1698.9293813669988
16,64.3130222873674,1763.2424036543662
17,50.62400257057743,1813.8664062249436
18,34.788628808986914,1848.6550350339305
19,138.68244756539593,1987.3374825993264
20,76.12525018660244,2063.462732785929
21,75.0,2138.462732785929
22,54.0,2192.462732785929
23,82.75587505266867,2275.2186078385976
24,27.0,2302.2186078385976
25,57.0,2359.2186078385976
26,115.94203066107639,2475.160638499674
27,32.0,2507.160638499674
28,33.0,2540.160638499674
29,103.34703999237945,2643.5076784920534
30,51.0,2694.5076784920534
31,51.0,2745.5076784920534
32,44.0,2789.5076784920534
33,52.0,2841.5076784920534
34,56.0,2897.5076784920534
35,43.0,2940.5076784920534
36,38.0,2978.5076784920534
37,75.0,3053.5076784920534
38,64.0,3117.5076784920534
39,75.0,3192.5076784920534
40,87.0,3279.5076784920534
41,77.0,3356.5076784920534
42,75.0,3431.5076784920534
43,65.0,3496.5076784920534
44,101.0,3597.5076784920534
45,55.0,3652.5076784920534
46,36.0,3688.5076784920534
47,56.0,3744.5076784920534
48,53.0,3797.5076784920534
49,80.0,3877.5076784920534
50,55.0,3932.5076784920534
51,49.0,3981.5076784920534
52,143.5975074193525,4125.105185911406
53,67.0,4192.105185911406
54,93.0,4285.105185911406
55,52.0,4337.105185911406
56,31.0,4368.105185911406
57,58.0,4426.105185911406
58,38.0,4464.105185911406
59,76.0,4540.105185911406
60,86.0,4626.105185911406
61,35.0,4661.105185911406
62,165.0,4826.105185911406
63,49.0,4875.105185911406
64,88.0,4963.105185911406
65,34.0,4997.105185911406
66,62.0,5059.105185911406
67,66.0,5125.105185911406
68,52.0,5177.105185911406
69,72.0,5249.105185911406
70,270.4260468174234,5519.531232728829
71,56.0,5575.531232728829
72,57.0,5632.531232728829
73,44.0,5676.531232728829
74,70.0,5746.531232728829
75,58.0,5804.531232728829
76,66.0,5870.531232728829
77,66.0,5936.531232728829
78,58.0,5994.531232728829
79,63.0,6057.531232728829
80,68.0,6125.531232728829
81,35.0,6160.531232728829
82,75.0,6235.531232728829
83,89.0,6324.531232728829
84,82.0,6406.531232728829
85,42.0,6448.531232728829
86,42.0,6490.531232728829
87,53.0,6543.531232728829
88,47.0,6590.531232728829
89,90.0,6680.531232728829
90,37.0,6717.531232728829
91,47.0,6764.531232728829
92,50.0,6814.531232728829
93,89.0,6903.531232728829
94,46.0,6949.531232728829
95,116.0,7065.531232728829
96,101.0,7166.531232728829
97,45.0,7211.531232728829
98,43.0,7254.531232728829
99,44.0,7298.531232728829
