Step,Absorbed_Step,Absorbed_Cumulative
0,392.68531962482274,392.68531962482274
1,162.82396793919207,555.5092875640148
2,121.05942231632503,676.5687098803398
3,139.48375954766027,816.0524694280001
4,124.40601642282229,940.4584858508224
5,152.43974743685817,1092.8982332876806
6,55.504915603883546,1148.4031488915641
7,54.740400205851074,1203.1435490974152
8,88.84222485289115,1291.9857739503063
9,62.82765382910725,1354.8134277794136
10,72.72585280432418,1427.5392805837378
11,76.15883975176644,1503.6981203355042
12,63.53421877558708,1567.2323391110913
13,40.110067897711815,1607.342407008803
14,70.85965614679367,1678.2020631555968
15,52.11574657205301,1730.3178097276498
16,91.98631213712497,1822.3041218647747
17,74.06452500718729,1896.368646871962
18,59.0,1955.368646871962
19,55.08317871257259,2010.4518255845346
20,47.0,2057.4518255845346
21,93.3408684224105,2150.792694006945
22,65.67248472462916,2216.4651787315743
23,43.0,2259.4651787315743
24,99.99283793914537,2359.4580166707196
25,46.0,2405.4580166707196
26,95.08882026629408,2500.5468369370137
27,150.64462625306442,2651.191463190078
28,43.0,2694.191463190078
29,34.0,2728.191463190078
30,81.0,2809.191463190078
31,59.0,2868.191463190078
32,59.0,2927.191463190078
33,100.13554085769556,3027.3270040477737
34,61.0,3088.3270040477737
35,67.0,3155.3270040477737
36,53.0,3208.3270040477737
37,44.0,3252.3270040477737
38,65.0,3317.3270040477737
39,143.56045385260677,3460.8874579003805
40,76.0,3536.8874579003805
41,57.0,3593.8874579003805
42,82.0,3675.8874579003805
43,23.0,3698.8874579003805
44,84.0,3782.8874579003805
45,77.0,3859.8874579003805
46,43.0,3902.8874579003805
47,91.0,3993.8874579003805
48,94.0,4087.8874579003805
49,70.0,4157.8874579003805
50,75.0,4232.8874579003805
51,43.0,4275.8874579003805
52,46.0,4321.8874579003805
53,98.0,4419.8874579003805
54,104.0,4523.8874579003805
55,50.0,4573.8874579003805
56,54.0,4627.8874579003805
57,78.0,4705.8874579003805
58,34.0,4739.8874579003805
59,43.0,4782.8874579003805
60,79.0,4861.8874579003805
61,69.0,4930.8874579003805
62,84.0,5014.8874579003805
63,86.0,5100.8874579003805
64,43.0,5143.8874579003805
65,77.0,5220.8874579003805
66,86.0,5306.8874579003805
67,90.0,5396.8874579003805
68,90.0,5486.8874579003805
69,80.0,5566.8874579003805
70,62.0,5628.8874579003805
71,90.0,5718.8874579003805
72,39.0,5757.8874579003805
73,91.0,5848.8874579003805
74,86.0,5934.8874579003805
75,112.0,6046.8874579003805
76,57.0,6103.8874579003805
77,33.0,6136.8874579003805
78,60.0,6196.8874579003805
79,99.0,6295.8874579003805
80,63.0,6358.8874579003805
81,58.0,6416.8874579003805
82,60.0,6476.8874579003805
83,93.0,6569.8874579003805
84,74.0,6643.8874579003805
85,50.0,6693.8874579003805
86,72.0,6765.8874579003805
87,66.0,6831.8874579003805
88,64.0,6895.8874579003805
89,125.0,7020.8874579003805
90,66.0,7086.8874579003805
91,53.0,7139.8874579003805
92,97.0,7236.8874579003805
93,92.0,7328.8874579003805
94,82.0,7410.8874579003805
95,114.0,7524.8874579003805
96,43.0,7567.8874579003805
97,57.0,7624.8874579003805
98,88.0,7712.8874579003805
99,80.0,7792.8874579003805
