Step,Absorbed_Step,Absorbed_Cumulative
0,292.19865152992674,292.19865152992674
1,107.12339921882563,399.32205074875236
2,99.04597302487872,498.3680237736311
3,48.995218398071756,547.3632421717028
4,73.7069915232845,621.0702336949873
5,49.46884179174276,670.5390754867301
6,39.26948320130066,709.8085586880308
7,32.21235600423654,742.0209146922673
8,60.6918026785105,802.7127173707778
9,94.13985479336134,896.8525721641391
10,44.292172571468654,941.1447447356078
11,38.48905633140191,979.6338010670097
12,43.23160868185812,1022.8654097488678
13,101.2269670599452,1124.092376808813
14,35.0,1159.092376808813
15,32.0,1191.092376808813
16,68.60796395209832,1259.7003407609113
17,51.86047441473647,1311.5608151756478
18,26.0,1337.5608151756478
19,27.0,1364.5608151756478
20,178.36367188040663,1542.9244870560544
21,29.681117936512237,1572.6056049925667
22,37.0,1609.6056049925667
23,74.6714454747273,1684.277050467294
24,35.0,1719.277050467294
25,46.0,1765.277050467294
26,157.77974408096316,1923.0567945482571
27,56.36164197163362,1979.4184365198907
28,39.0,2018.4184365198907
29,74.0,2092.4184365198907
30,50.0,2142.4184365198907
31,34.0,2176.4184365198907
32,43.0,2219.4184365198907
33,28.0,2247.4184365198907
34,45.0,2292.4184365198907
35,32.0,2324.4184365198907
36,47.0,2371.4184365198907
37,34.0,2405.4184365198907
38,112.14329950267711,2517.561736022568
39,24.0,2541.561736022568
40,28.0,2569.561736022568
41,46.0,2615.561736022568
42,24.0,2639.561736022568
43,29.0,2668.561736022568
44,58.0,2726.561736022568
45,29.0,2755.561736022568
46,59.0,2814.561736022568
47,70.0,2884.561736022568
48,36.0,2920.561736022568
49,32.0,2952.561736022568
50,44.0,2996.561736022568
51,48.0,3044.561736022568
52,33.0,3077.561736022568
53,50.0,3127.561736022568
54,40.0,3167.561736022568
55,38.0,3205.561736022568
56,29.0,3234.561736022568
57,29.0,3263.561736022568
58,27.0,3290.561736022568
59,21.0,3311.561736022568
60,91.0,3402.561736022568
61,32.0,3434.561736022568
62,40.0,3474.561736022568
63,85.0,3559.561736022568
64,59.0,3618.561736022568
65,25.0,3643.561736022568
66,68.0,3711.561736022568
67,59.0,3770.561736022568
68,30.0,3800.561736022568
69,28.0,3828.561736022568
70,53.0,3881.561736022568
71,45.0,3926.561736022568
72,20.0,3946.561736022568
73,37.0,3983.561736022568
74,36.0,4019.561736022568
75,30.0,4049.561736022568
76,86.0,4135.561736022568
77,38.0,4173.561736022568
78,49.0,4222.561736022568
79,32.0,4254.561736022568
80,52.0,4306.561736022568
81,43.0,4349.561736022568
82,44.0,4393.561736022568
83,63.0,4456.561736022568
84,35.0,4491.561736022568
85,34.0,4525.561736022568
86,57.0,4582.561736022568
87,32.0,4614.561736022568
88,34.0,4648.561736022568
89,40.0,4688.561736022568
90,36.0,4724.561736022568
91,26.0,4750.561736022568
92,21.0,4771.561736022568
93,47.0,4818.561736022568
94,37.0,4855.561736022568
95,52.0,4907.561736022568
96,25.0,4932.561736022568
97,94.0,5026.561736022568
98,42.0,5068.561736022568
99,37.0,5105.561736022568
