Step,Absorbed_Step,Absorbed_Cumulative
0,339.1754954449095,339.1754954449095
1,149.71773025967633,488.8932257045858
2,112.63719752447957,601.5304232290654
3,97.98608630923547,699.5165095383009
4,95.65099808056743,795.1675076188683
5,54.55340768867404,849.7209153075423
6,43.43614902725096,893.1570643347933
7,76.131196649397,969.2882609841903
8,77.35845027014886,1046.6467112543392
9,75.55379886109904,1122.2005101154382
10,48.43803768598559,1170.6385478014238
11,72.90558763104968,1243.5441354324735
12,85.55936579246963,1329.103501224943
13,59.2208936905231,1388.3243949154662
14,61.23232698975585,1449.556721905222
15,110.03247596633378,1559.5891978715558
16,46.60225768798068,1606.1914555595365
17,88.84773508354692,1695.0391906430834
18,40.0,1735.0391906430834
19,46.75178212449737,1781.7909727675808
20,60.899674115150674,1842.6906468827315
21,52.14366406908789,1894.8343109518194
22,47.0,1941.8343109518194
23,58.75128990085568,2000.585600852675
24,96.84657986895922,2097.4321807216343
25,95.510383240809,2192.9425639624433
26,110.3022553167616,2303.244819279205
27,56.0,2359.244819279205
28,117.532622717079,2476.777441996284
29,41.0,2517.777441996284
30,65.0,2582.777441996284
31,47.0,2629.777441996284
32,57.0,2686.777441996284
33,70.92563230110773,2757.7030742973916
34,139.0338202135781,2896.7368945109697
35,50.0,2946.7368945109697
36,52.0,2998.7368945109697
37,69.0,3067.7368945109697
38,83.11554534367951,3150.852439854649
39,69.0,3219.852439854649
40,63.0,3282.852439854649
41,42.0,3324.852439854649
42,42.0,3366.852439854649
43,69.0,3435.852439854649
44,54.0,3489.852439854649
45,69.0,3558.852439854649
46,41.0,3599.852439854649
47,48.0,3647.852439854649
48,64.0,3711.852439854649
49,27.0,3738.852439854649
50,64.0,3802.852439854649
51,53.0,3855.852439854649
52,49.0,3904.852439854649
53,44.0,3948.852439854649
54,52.0,4000.852439854649
55,67.0,4067.852439854649
56,58.999999999999545,4126.852439854649
57,80.0,4206.852439854649
58,80.0,4286.852439854649
59,68.0,4354.852439854649
60,38.0,4392.852439854649
61,111.0,4503.852439854649
62,136.0,4639.852439854649
63,46.0,4685.852439854649
64,43.0,4728.852439854649
65,84.0,4812.852439854649
66,47.0,4859.852439854649
67,45.0,4904.852439854649
68,53.0,4957.852439854649
69,46.0,5003.852439854649
70,153.66226186601216,5157.514701720661
71,68.0,5225.514701720661
72,70.0,5295.514701720661
73,60.0,5355.514701720661
74,52.0,5407.514701720661
75,44.0,5451.514701720661
76,169.0,5620.514701720661
77,45.0,5665.514701720661
78,60.0,5725.514701720661
79,67.0,5792.514701720661
80,56.0,5848.514701720661
81,43.0,5891.514701720661
82,48.0,5939.514701720661
83,40.0,5979.514701720661
84,40.0,6019.514701720661
85,87.0,6106.514701720661
86,68.0,6174.514701720661
87,81.0,6255.514701720661
88,85.0,6340.514701720661
89,97.0,6437.514701720661
90,103.0,6540.514701720661
91,262.4365117263869,6802.951213447048
92,36.0,6838.951213447048
93,66.0,6904.951213447048
94,65.0,6969.951213447048
95,50.0,7019.951213447048
96,94.0,7113.951213447048
97,60.0,7173.951213447048
98,35.0,7208.951213447048
99,128.0,7336.951213447048
