Step,Absorbed_Step,Absorbed_Cumulative
0,263.90379443903515,263.90379443903515
1,100.97925014285926,364.8830445818944
2,88.45789586394983,453.34094044584424
3,62.37445213124295,515.7153925770872
4,118.53920328435368,634.2545958614409
5,67.1536118571504,701.4082077185913
6,70.97763312902214,772.3858408476134
7,31.33830695213669,803.7241477997501
8,50.902296021737016,854.6264438214871
9,79.54432480846765,934.1707686299548
10,31.677062727664293,965.847831357619
11,64.4817454627289,1030.329576820348
12,45.58320063065821,1075.9127774510061
13,89.43559397874355,1165.3483714297497
14,61.52344429433106,1226.8718157240808
15,46.2052994147291,1273.0771151388099
16,43.21051322993799,1316.2876283687478
17,45.39675617074886,1361.6843845394967
18,48.80922560859153,1410.4936101480882
19,24.16107485236921,1434.6546850004574
20,38.0,1472.6546850004574
21,56.0,1528.6546850004574
22,50.0,1578.6546850004574
23,48.0,1626.6546850004574
24,49.38121185149885,1676.0358968519563
25,27.0,1703.0358968519563
26,70.96310886138826,1773.9990057133446
27,26.0,1799.9990057133446
28,85.07777330585031,1885.0767790191949
29,42.0,1927.0767790191949
30,75.24341236183523,2002.32019138103
31,42.0,2044.32019138103
32,21.999999999999773,2066.32019138103
33,49.0,2115.32019138103
34,51.0,2166.32019138103
35,44.0,2210.32019138103
36,35.0,2245.32019138103
37,36.0,2281.32019138103
38,47.0,2328.32019138103
39,38.0,2366.32019138103
40,32.0,2398.32019138103
41,34.0,2432.32019138103
42,42.0,2474.32019138103
43,52.0,2526.32019138103
44,50.0,2576.32019138103
45,40.0,2616.32019138103
46,38.0,2654.32019138103
47,78.0,2732.32019138103
48,90.0,2822.32019138103
49,29.0,2851.32019138103
50,48.0,2899.32019138103
51,24.0,2923.32019138103
52,43.0,2966.32019138103
53,36.0,3002.32019138103
54,32.0,3034.32019138103
55,51.0,3085.32019138103
56,30.0,3115.32019138103
57,27.0,3142.32019138103
58,40.0,3182.32019138103
59,33.0,3215.32019138103
60,21.0,3236.32019138103
61,31.0,3267.32019138103
62,39.0,3306.32019138103
63,75.0,3381.32019138103
64,24.0,3405.32019138103
65,40.0,3445.32019138103
66,104.0,3549.32019138103
67,45.0,3594.32019138103
68,39.0,3633.32019138103
69,31.0,3664.32019138103
70,62.0,3726.32019138103
71,68.0,3794.32019138103
72,42.0,3836.32019138103
73,68.0,3904.32019138103
74,23.0,3927.32019138103
75,32.0,3959.32019138103
76,40.0,3999.32019138103
77,32.0,4031.32019138103
78,29.0,4060.32019138103
79,26.0,4086.32019138103
80,66.0,4152.32019138103
81,45.0,4197.32019138103
82,40.0,4237.32019138103
83,37.0,4274.32019138103
84,77.0,4351.32019138103
85,31.0,4382.32019138103
86,49.0,4431.32019138103
87,45.0,4476.32019138103
88,67.0,4543.32019138103
89,95.0,4638.32019138103
90,72.0,4710.32019138103
91,73.0,4783.32019138103
92,82.0,4865.32019138103
93,54.0,4919.32019138103
94,70.0,4989.32019138103
95,42.0,5031.32019138103
96,28.0,5059.32019138103
97,37.0,5096.32019138103
98,40.0,5136.32019138103
99,79.0,5215.32019138103
