Step,Absorbed_Step,Absorbed_Cumulative
0,233.30446019702867,233.30446019702867
1,88.5547921221509,321.8592523191796
2,90.3342886760658,412.19354099524537
3,69.23253891465396,481.42607990989933
4,64.0851837532744,545.5112636631737
5,83.95406294761653,629.4653266107903
6,115.16240969908279,744.6277363098731
7,55.49552357645166,800.1232598863247
8,86.60777290302269,886.7310327893474
9,42.15292378288859,928.883956572236
10,42.95000115974074,971.8339577319767
11,16.3663167221639,988.2002744541406
12,46.964661041916884,1035.1649354960575
13,49.03955659461462,1084.2044920906721
14,101.149529750787,1185.3540218414591
15,52.88912290239318,1238.2431447438523
16,82.28664594783686,1320.5297906916892
17,37.80073730620984,1358.330527997899
18,35.08029288917237,1393.4108208870714
19,53.0,1446.4108208870714
20,22.0,1468.4108208870714
21,66.52413398607564,1534.934954873147
22,72.60862627815663,1607.5435811513037
23,28.0,1635.5435811513037
24,25.0,1660.5435811513037
25,36.0,1696.5435811513037
26,29.0,1725.5435811513037
27,27.0,1752.5435811513037
28,29.0,1781.5435811513037
29,47.57101145781439,1829.114592609118
30,19.0,1848.114592609118
31,99.62942078731021,1947.7440133964283
32,22.0,1969.7440133964283
33,42.59333499020613,2012.3373483866344
34,36.0,2048.3373483866344
35,39.0,2087.3373483866344
36,55.0,2142.3373483866344
37,29.0,2171.3373483866344
38,25.0,2196.3373483866344
39,52.0,2248.3373483866344
40,30.0,2278.3373483866344
41,43.0,2321.3373483866344
42,27.0,2348.3373483866344
43,48.0,2396.3373483866344
44,26.0,2422.3373483866344
45,36.0,2458.3373483866344
46,26.0,2484.3373483866344
47,150.5071118598048,2634.844460246439
48,38.0,2672.844460246439
49,82.0,2754.844460246439
50,34.0,2788.844460246439
51,23.0,2811.844460246439
52,48.0,2859.844460246439
53,42.0,2901.844460246439
54,33.0,2934.844460246439
55,45.0,2979.844460246439
56,41.0,3020.844460246439
57,32.0,3052.844460246439
58,86.0,3138.844460246439
59,37.0,3175.844460246439
60,49.0,3224.844460246439
61,48.0,3272.844460246439
62,33.0,3305.844460246439
63,45.0,3350.844460246439
64,289.11504267686587,3639.959502923305
65,38.0,3677.959502923305
66,41.0,3718.959502923305
67,31.0,3749.959502923305
68,46.0,3795.959502923305
69,70.0,3865.959502923305
70,76.0,3941.959502923305
71,54.0,3995.959502923305
72,25.0,4020.959502923305
73,26.0,4046.959502923305
74,74.0,4120.959502923305
75,26.0,4146.959502923305
76,31.0,4177.959502923305
77,44.0,4221.959502923305
78,39.0,4260.959502923305
79,58.0,4318.959502923305
80,42.0,4360.959502923305
81,38.0,4398.959502923305
82,123.0,4521.959502923305
83,33.0,4554.959502923305
84,38.0,4592.959502923305
85,65.0,4657.959502923305
86,75.0,4732.959502923305
87,46.0,4778.959502923305
88,33.0,4811.959502923305
89,50.0,4861.959502923305
90,43.0,4904.959502923305
91,35.0,4939.959502923305
92,35.0,4974.959502923305
93,30.0,5004.959502923305
94,22.0,5026.959502923305
95,35.0,5061.959502923305
96,31.0,5092.959502923305
97,85.0,5177.959502923305
98,35.0,5212.959502923305
99,30.0,5242.959502923305
