Step,Absorbed_Step,Absorbed_Cumulative
0,157.96761526260076,157.96761526260076
1,72.266044272279,230.23365953487976
2,76.75930249235913,306.9929620272389
3,65.22089290042561,372.2138549276645
4,35.797688404019425,408.0115433316839
5,48.32560304577879,456.3371463774627
6,49.58726209877051,505.9244084762332
7,60.01786202232768,565.9422704985609
8,31.20519874820593,597.1474692467668
9,35.761538777007786,632.9090080237746
10,40.04132138298894,672.9503294067636
11,29.48234065341569,702.4326700601792
12,37.67409339772712,740.1067634579064
13,44.65082146017335,784.7575849180797
14,23.0,807.7575849180797
15,113.63935188054472,921.3969367986244
16,9.0,930.3969367986244
17,105.61366870302345,1036.010605501648
18,38.96437961036281,1074.9749851120107
19,67.824887063206,1142.7998721752167
20,65.61805502070047,1208.4179271959172
21,64.00348057373913,1272.4214077696563
22,19.0,1291.4214077696563
23,133.73385512087225,1425.1552628905285
24,40.42374513424079,1465.5790080247693
25,73.47921611529864,1539.058224140068
26,22.0,1561.058224140068
27,21.0,1582.058224140068
28,43.13498536808902,1625.193209508157
29,23.950307345803367,1649.1435168539604
30,38.313879473010275,1687.4573963269706
31,11.0,1698.4573963269706
32,80.12638633167899,1778.5837826586496
33,23.63644389939327,1802.220226558043
34,25.0,1827.220226558043
35,15.0,1842.220226558043
36,16.0,1858.220226558043
37,30.216255090579807,1888.4364816486227
38,39.0,1927.4364816486227
39,27.0,1954.4364816486227
40,33.0,1987.4364816486227
41,43.0,2030.4364816486227
42,185.85192813865933,2216.288409787282
43,240.61074137308742,2456.8991511603695
44,24.0,2480.8991511603695
45,22.0,2502.8991511603695
46,30.0,2532.8991511603695
47,29.0,2561.8991511603695
48,46.0,2607.8991511603695
49,53.0,2660.8991511603695
50,33.0,2693.8991511603695
51,23.0,2716.8991511603695
52,18.0,2734.8991511603695
53,35.0,2769.8991511603695
54,78.0,2847.8991511603695
55,172.76450131977708,3020.6636524801465
56,159.42188550029732,3180.085537980444
57,34.0,3214.085537980444
58,62.0,3276.085537980444
59,39.0,3315.085537980444
60,25.0,3340.085537980444
61,20.0,3360.085537980444
62,32.0,3392.085537980444
63,17.0,3409.085537980444
64,124.0,3533.085537980444
65,164.46234683278226,3697.547884813226
66,26.0,3723.547884813226
67,181.4054158834383,3904.9533006966644
68,146.8763153330301,4051.8296160296945
69,34.0,4085.8296160296945
70,40.999999999999545,4126.829616029694
71,253.89534894707413,4380.724964976768
72,49.0,4429.724964976768
73,50.0,4479.724964976768
74,43.0,4522.724964976768
75,28.0,4550.724964976768
76,32.0,4582.724964976768
77,21.0,4603.724964976768
78,17.0,4620.724964976768
79,27.0,4647.724964976768
80,66.0,4713.724964976768
81,176.20034317825412,4889.925308155022
82,57.0,4946.925308155022
83,22.0,4968.925308155022
84,30.0,4998.925308155022
85,18.0,5016.925308155022
86,52.0,5068.925308155022
87,18.0,5086.925308155022
88,34.0,5120.925308155022
89,45.0,5165.925308155022
90,117.0,5282.925308155022
91,24.0,5306.925308155022
92,56.0,5362.925308155022
93,19.0,5381.925308155022
94,55.0,5436.925308155022
95,47.0,5483.925308155022
96,33.0,5516.925308155022
97,121.0,5637.925308155022
98,32.0,5669.925308155022
99,105.0,5774.925308155022
