Step,Absorbed_Step,Absorbed_Cumulative
0,414.00864536395426,414.00864536395426
1,127.80330742241671,541.811952786371
2,109.14043908203769,650.9523918684087
3,100.55669750792663,751.5090893763353
4,135.84795445760426,887.3570438339395
5,71.33715210142122,958.6941959353608
6,108.36779597097302,1067.0619919063338
7,84.00789338413665,1151.0698852904704
8,38.941086897812056,1190.0109721882825
9,107.02697606786523,1297.0379482561477
10,62.34313537563776,1359.3810836317855
11,49.90665184620957,1409.287735477995
12,60.33213716397245,1469.6198726419675
13,80.48726285225257,1550.10713549422
14,126.59022428501157,1676.6973597792316
15,48.76616992381628,1725.463529703048
16,72.03000466897993,1797.4935343720279
17,72.18752514863218,1869.68105952066
18,116.05696068026509,1985.7380202009251
19,53.55022262382067,2039.2882428247458
20,59.92482592637725,2099.213068751123
21,70.0,2169.213068751123
22,56.0,2225.213068751123
23,45.0,2270.213068751123
24,75.8800128473099,2346.093081598433
25,66.0,2412.093081598433
26,84.0,2496.093081598433
27,63.04044330079478,2559.1335248992277
28,173.0383206236902,2732.171845522918
29,41.0,2773.171845522918
30,50.0,2823.171845522918
31,68.0,2891.171845522918
32,71.0,2962.171845522918
33,108.21112958848698,3070.382975111405
34,60.0,3130.382975111405
35,83.11761764192852,3213.5005927533334
36,56.0,3269.5005927533334
37,58.0,3327.5005927533334
38,54.0,3381.5005927533334
39,90.0,3471.5005927533334
40,77.0,3548.5005927533334
41,45.0,3593.5005927533334
42,68.0,3661.5005927533334
43,41.0,3702.5005927533334
44,79.0,3781.5005927533334
45,47.0,3828.5005927533334
46,64.0,3892.5005927533334
47,42.0,3934.5005927533334
48,73.0,4007.5005927533334
49,50.0,4057.5005927533334
50,63.999999999999545,4121.500592753333
51,37.0,4158.500592753333
52,43.0,4201.500592753333
53,55.0,4256.500592753333
54,73.0,4329.500592753333
55,53.0,4382.500592753333
56,74.0,4456.500592753333
57,72.0,4528.500592753333
58,40.0,4568.500592753333
59,50.0,4618.500592753333
60,110.0,4728.500592753333
61,64.0,4792.500592753333
62,69.0,4861.500592753333
63,63.0,4924.500592753333
64,62.0,4986.500592753333
65,73.0,5059.500592753333
66,78.0,5137.500592753333
67,52.0,5189.500592753333
68,55.0,5244.500592753333
69,44.0,5288.500592753333
70,74.0,5362.500592753333
71,58.0,5420.500592753333
72,84.0,5504.500592753333
73,84.0,5588.500592753333
74,90.0,5678.500592753333
75,45.0,5723.500592753333
76,171.0,5894.500592753333
77,70.0,5964.500592753333
78,51.0,6015.500592753333
79,49.0,6064.500592753333
80,61.0,6125.500592753333
81,90.0,6215.500592753333
82,77.0,6292.500592753333
83,62.0,6354.500592753333
84,61.0,6415.500592753333
85,72.0,6487.500592753333
86,74.0,6561.500592753333
87,66.0,6627.500592753333
88,78.0,6705.500592753333
89,55.0,6760.500592753333
90,62.0,6822.500592753333
91,43.0,6865.500592753333
92,97.0,6962.500592753333
93,67.0,7029.500592753333
94,55.0,7084.500592753333
95,50.0,7134.500592753333
96,56.0,7190.500592753333
97,117.0,7307.500592753333
98,35.0,7342.500592753333
99,63.0,7405.500592753333
