step,total_absorbed,total_fixed,total_growth
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0.2547658983727229,0.07642976951181686,0.07490117412158052
13,0.2547658983727229,0.07642976951181686,0.07340315063914891
14,0.6807845771044337,0.2042353731313301,0.19718457917348892
15,0.6807845771044337,0.2042353731313301,0.19324088759001914
16,0.6807845771044337,0.2042353731313301,0.18937606983821875
17,1.582728469936763,0.4748185409810289,0.45076005293415916
18,1.582728469936763,0.4748185409810289,0.44174485187547596
19,2.4948000091264158,0.7484400027379249,0.7010589873597246
20,2.4948000091264158,0.7484400027379249,0.6870378076125301
21,3.3378869801653615,1.0013660940496085,0.9211646209457295
22,3.3378869801653615,1.0013660940496085,0.9027413285268149
23,3.3378869801653615,1.0013660940496085,0.8846865019562786
24,4.253675857276309,1.2761027571828925,1.1362347017877714
25,4.253675857276309,1.2761027571828925,1.113510007752016
26,5.31888521587626,1.595665564762877,1.4044113590253604
27,5.31888521587626,1.595665564762877,1.3763231318448532
28,6.196862902994037,1.8590588708982108,1.6069221092205832
29,6.196862902994037,1.8590588708982108,1.5747836670361715
30,6.196862902994037,1.8590588708982108,1.543287993695448
31,6.8236353499646105,2.047090604989383,1.696693333230888
32,6.8236353499646105,2.047090604989383,1.6627594665662702
33,7.785488196309509,2.3356464588928523,1.9122890140603457
34,7.785488196309509,2.3356464588928523,1.8740432337791388
35,8.803062835475622,2.640918850642685,2.1357293130183925
36,8.803062835475622,2.640918850642685,2.0930147267580246
37,9.294910386495214,2.788473115948561,2.195757612222623
38,9.870976867165696,2.961293060149708,2.321206005295294
39,9.870976867165696,2.961293060149708,2.2747818851893884
40,10.947081109049762,3.2841243327149248,2.5456608945995134
41,10.947081109049762,3.2841243327149248,2.494747676707523
42,12.034399814066886,3.6103199442200617,2.764524422448407
43,12.034399814066886,3.6103199442200617,2.709233933999439
44,12.98061130966645,3.8941833928999325,2.9332354350257237
45,12.98061130966645,3.8941833928999325,2.874570726325209
46,12.98061130966645,3.8941833928999325,2.817079311798705
47,14.576472081538611,4.372941624461579,3.2299207924931435
48,14.576472081538611,4.372941624461579,3.1653223766432808
49,16.536765247892177,4.961029574367648,3.678342120018362
50,16.536765247892177,4.961029574367648,3.604775277617995
51,18.596495379781786,5.578948613934528,4.138240430841178
52,18.596495379781786,5.578948613934528,4.055475622224355
53,18.596495379781786,5.578948613934528,3.974366109779868
54,20.828223820635948,6.248467146190777,4.551006949195394
55,20.828223820635948,6.248467146190777,4.459986810211486
56,23.31036677870477,6.993110033611424,5.100537103679491
57,23.31036677870477,6.993110033611424,4.998526361605901
58,25.547668921857206,7.664300676557157,5.556322664460601
59,25.547668921857206,7.664300676557157,5.445196211171389
60,25.547668921857206,7.664300676557157,5.336292286947961
61,27.955259854423353,8.386577956327,5.937398175383453
62,27.955259854423353,8.386577956327,5.8186502118757835
63,31.214695590951877,9.364408677285555,6.660551314177655
64,31.214695590951877,9.364408677285555,6.527340287894102
65,34.08686005336289,10.226058016008848,7.241209834085051
66,34.08686005336289,10.226058016008848,7.09638563740335
67,35.343214897948755,10.602964469384608,7.323826248963526
68,36.4830861858093,10.944925855742778,7.512471882615255
69,36.4830861858093,10.944925855742778,7.36222244496295
70,38.647221109896655,11.594166332968983,7.851233663745374
71,38.647221109896655,11.594166332968983,7.694208990470466
72,40.362693190182746,12.108807957054808,8.044673602265167
73,40.362693190182746,12.108807957054808,7.883780130219864
74,41.289988760641705,12.38699662819249,7.998729425330397
75,41.289988760641705,12.38699662819249,7.838754836823789
76,41.289988760641705,12.38699662819249,7.681979740087313
