step,total_absorbed_mgC,total_fixed_mgC,total_growth_mgC
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.040652063280086116,0.028456444296060278,0.0007317371390415501
119,0.08824042963376136,0.06176830074363295,0.0015883277334077044
120,0.08824042963376136,0.06176830074363295,0.0015883277334077044
121,0.13033963562457362,0.09123774493720155,0.002346113441242325
122,0.1593007477431356,0.11151052342019493,0.0028674134593764406
123,0.1918195337106629,0.13427367359746406,0.0034527516067919322
124,0.22014772466939267,0.15410340726857488,0.003962659044049068
125,0.242651273117204,0.1698558911820428,0.004367722916109672
126,0.2667996774525699,0.1867597742167989,0.004802394194146257
127,0.27475995938067593,0.19233197156647314,0.004945679268852166
128,0.29541397739250785,0.20678978417475546,0.00531745159306514
129,0.30804774094368514,0.21563341866057958,0.005544859336986332
130,0.30804774094368514,0.21563341866057958,0.005544859336986332
131,0.30804774094368514,0.21563341866057958,0.005544859336986332
132,0.32279874125951885,0.2259591188816632,0.0058103773426713395
133,0.33762894517179987,0.23634026162025992,0.006077321013092398
134,0.34522999211674094,0.24166099448171868,0.006214139858101338
135,0.35774195995676844,0.25041937196973796,0.006439355279221833
136,0.3640204156549567,0.2548142909584697,0.006552367481789221
137,0.3741633090110079,0.26191431630770556,0.006734939562198144
138,0.38219629384361753,0.2675374056905323,0.006879533289185117
139,0.3896847011243352,0.27277929078703467,0.007014324620238034
140,0.5092099978192727,0.3564469984734908,0.009165779960746908
141,0.5137249143287631,0.3596074400301341,0.009247048457917736
142,0.5197292406142955,0.3638104684300068,0.009355126331057319
143,0.5216881691012707,0.3651817183708895,0.009390387043822872
144,0.5267246333838593,0.36870724336870153,0.009481043400909469
145,0.53047860558502,0.37133502390951406,0.009548614900530362
146,0.5342852865348604,0.37399970057440235,0.00961713515762749
147,0.5377504570981347,0.3764253199686944,0.009679508227766427
148,0.5402489050775358,0.3781742335542751,0.009724480291395644
149,0.5431736534953504,0.3802215574467454,0.00977712576291631
