step,total_absorbed,total_fixed,total_growth
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0.0011229106207418296,0.0003593313986373855,0.00016843659311127445
44,0.001420614058024826,0.0004545964985679443,0.0002130921087037239
45,0.001420614058024826,0.0004545964985679443,0.0002130921087037239
46,0.001420614058024826,0.0004545964985679443,0.0002130921087037239
47,0.001664604204193742,0.0005326733453419974,0.0002496906306290613
48,0.0017592952750159598,0.0005629744880051071,0.000263894291252394
49,0.0018069182998246315,0.000578213855943882,0.0002710377449736947
50,0.001830451515069535,0.0005857444848222512,0.00027456772726043024
51,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
52,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
53,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
54,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
55,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
56,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
57,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
58,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
59,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
60,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
61,0.0018380734550557155,0.0005881835056178289,0.0002757110182583573
62,0.0018393333798456585,0.0005885866815506106,0.00027590000697684877
63,0.0018393333798456585,0.0005885866815506106,0.00027590000697684877
64,0.0018393333798456585,0.0005885866815506106,0.00027590000697684877
65,0.0018398577279363118,0.0005887544729396197,0.00027597865919044677
66,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
67,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
68,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
69,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
70,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
71,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
72,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
73,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
74,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
75,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
76,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
77,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
78,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
79,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
80,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
81,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
82,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
83,0.0018401686321719223,0.000588853962295015,0.00027602529482578835
84,0.0018401810724630136,0.0005888579431881642,0.000276027160869452
85,0.0018401856089103076,0.0005888593948512983,0.00027602784133654615
86,0.0018401881740334053,0.0005888602156906896,0.0002760282261050108
87,0.0018401893579999234,0.0005888605945599753,0.0002760284036999885
88,0.0018401897957372978,0.0005888607346359352,0.0002760284693605947
89,0.0018401900920644834,0.0005888608294606346,0.00027602851380967254
90,0.0018401900920644834,0.0005888608294606346,0.00027602851380967254
