step,total_absorbed_mgC,total_fixed_mgC,total_growth_mgC
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.018987756200945602,0.006076081984302593,0.00284816343014184
84,0.01899060259989965,0.0060769928319678885,0.0028485903899849473
85,0.044717801773007396,0.014309696567362366,0.006707670265951108
86,0.05926459710882685,0.018964671074824593,0.008889689566324027
87,0.06597886304028514,0.021113236172891243,0.009896829456042769
88,0.06846126866131426,0.021907605971620565,0.010269190299197139
89,0.07014173808000293,0.02244535618560094,0.01052126071200044
90,0.07014173808000293,0.02244535618560094,0.01052126071200044
91,0.07084493659380885,0.022670379710018833,0.010626740489071328
92,0.07084493659380885,0.022670379710018833,0.010626740489071328
93,0.07084493659380885,0.022670379710018833,0.010626740489071328
94,0.07084493659380885,0.022670379710018833,0.010626740489071328
95,0.07084493659380885,0.022670379710018833,0.010626740489071328
96,0.0710054183198392,0.022721733862348544,0.01065081274797588
97,0.0710054183198392,0.022721733862348544,0.01065081274797588
98,0.07107031632427652,0.022742501223768488,0.010660547448641478
99,0.07109002542483676,0.022748808135947766,0.010663503813725514
100,0.07110569858707833,0.022753823547865065,0.010665854788061747
101,0.07119285548324303,0.022781713754637768,0.010678928322486451
102,0.07123241161436286,0.022794371716596117,0.010684861742154427
103,0.07125361074821104,0.022801155439427533,0.010688041612231655
104,0.0712592310129921,0.022802953924157467,0.010688884651948814
105,0.07126534121405856,0.022804909188498736,0.010689801182108783
106,0.09436564901005122,0.030197007683216388,0.014154847351507682
107,0.11908971816699912,0.03810870981343971,0.017863457725049867
108,0.1190897658469162,0.03810872507101318,0.017863464877037428
109,0.11908978982659935,0.03810873274451178,0.0178634684739899
110,0.11908980167630959,0.03810873653641905,0.017863470251446436
111,0.11908980551419486,0.03810873776454234,0.01786347082712923
112,0.11908980864199481,0.03810873876543833,0.017863471296299224
113,0.11908980917906498,0.03810873893730078,0.017863471376859747
114,0.11908981018719182,0.038108739259901374,0.017863471528078774
115,0.1190903790372639,0.03810892129192444,0.017863556855589584
116,0.1190907006921547,0.0381090242214895,0.017863605103823205
117,0.11909070078810008,0.03810902425219202,0.017863605118215012
118,0.11909080540899598,0.03810905773087871,0.017863620811349398
119,0.1190908762323194,0.0381090803943422,0.01786363143484791
120,0.1190908762323194,0.0381090803943422,0.01786363143484791
121,0.11909087624236794,0.03810908039755774,0.017863631436355193
122,0.11909087624576309,0.03810908039864419,0.017863631436864466
123,0.11909087624798267,0.038109080399354456,0.017863631437197405
124,0.11909087624894724,0.03810908039966311,0.017863631437342087
125,0.11909087827483106,0.038109081047945935,0.017863631741224663
126,0.11909087827483106,0.038109081047945935,0.017863631741224663
127,0.11909087827483106,0.038109081047945935,0.017863631741224663
128,0.11909087827483106,0.038109081047945935,0.017863631741224663
129,0.11909087885858771,0.038109081234748064,0.01786363182878816
130,0.11909087932280539,0.03810908138329772,0.01786363189842081
131,0.11909087951347509,0.03810908144431203,0.017863631927021267
132,0.11909087960001048,0.03810908147200335,0.017863631940001574
133,0.119090879646387,0.03810908148684383,0.01786363194695805
134,0.11909087965868223,0.0381090814907783,0.017863631948802337
135,0.11909087967204927,0.038109081495055756,0.017863631950807392
136,0.11928280371734383,0.03817049718955001,0.01789242055760158
137,0.11948821844214522,0.03823622990148645,0.017923232766321785
138,0.1195679386298639,0.03826174036155643,0.017935190794479586
139,0.11956793863057415,0.03826174036178371,0.017935190794586123
140,0.11956793863057415,0.03826174036178371,0.017935190794586123
141,0.11956793863057415,0.03826174036178371,0.017935190794586123
