step,total_absorbed_mgC,total_fixed_mgC,total_growth_mgC
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.029491952024334554,0.02418340065995433,0.00017695171214600732
18,0.029491952024334554,0.02418340065995433,0.00017695171214600732
19,0.06015864575163711,0.04933008951634243,0.00036095187450982266
20,0.06015864575163711,0.04933008951634243,0.00036095187450982266
21,0.07937049575994055,0.06508380652315125,0.0004762229745596433
22,0.07937049575994055,0.06508380652315125,0.0004762229745596433
23,0.07937049575994055,0.06508380652315125,0.0004762229745596433
24,0.09475885987142632,0.07770226509456958,0.0005685531592285579
25,0.09475885987142632,0.07770226509456958,0.0005685531592285579
26,0.1332473629688086,0.10926283763442304,0.0007994841778128515
27,0.1332473629688086,0.10926283763442304,0.0007994841778128515
28,0.1474137496109103,0.12087927468094645,0.0008844824976654618
29,0.1474137496109103,0.12087927468094645,0.0008844824976654618
30,0.1474137496109103,0.12087927468094645,0.0008844824976654618
31,0.1635097581005516,0.1340780016424523,0.0009810585486033096
32,0.1635097581005516,0.1340780016424523,0.0009810585486033096
33,0.17663358993823056,0.14483954374934904,0.0010598015396293835
34,0.17663358993823056,0.14483954374934904,0.0010598015396293835
35,0.17663358993823056,0.14483954374934904,0.0010598015396293835
36,0.17663358993823056,0.14483954374934904,0.0010598015396293835
37,0.17663358993823056,0.14483954374934904,0.0010598015396293835
38,0.18084901142284854,0.1482961893667358,0.0010850940685370914
39,0.18084901142284854,0.1482961893667358,0.0010850940685370914
40,0.18084901142284854,0.1482961893667358,0.0010850940685370914
41,0.18084901142284854,0.1482961893667358,0.0010850940685370914
42,0.19453963644347716,0.15952250188365127,0.001167237818660863
43,0.19453963644347716,0.15952250188365127,0.001167237818660863
44,0.20269209179894032,0.16620751527513106,0.001216152550793642
45,0.20269209179894032,0.16620751527513106,0.001216152550793642
46,0.20269209179894032,0.16620751527513106,0.001216152550793642
47,0.23126529751952232,0.1896375439660083,0.0013875917851171342
48,0.23126529751952232,0.1896375439660083,0.0013875917851171342
49,0.2687835769251091,0.22040253307858945,0.001612701461550655
50,0.2687835769251091,0.22040253307858945,0.001612701461550655
51,0.314473283945834,0.2578680928355839,0.0018868397036750043
52,0.314473283945834,0.2578680928355839,0.0018868397036750043
53,0.314473283945834,0.2578680928355839,0.0018868397036750043
54,0.3900860148360128,0.31987053216553046,0.0023405160890160766
55,0.3900860148360128,0.31987053216553046,0.0023405160890160766
56,0.449769164201168,0.36881071464495774,0.0026986149852070078
57,0.449769164201168,0.36881071464495774,0.0026986149852070078
58,0.5623442666607488,0.46112229866181387,0.0033740655999644925
59,0.5623442666607488,0.46112229866181387,0.0033740655999644925
60,0.5623442666607488,0.46112229866181387,0.0033740655999644925
61,0.6083387827814052,0.4988378018807521,0.0036500326966884306
62,0.6083387827814052,0.4988378018807521,0.0036500326966884306
63,0.6519305653993689,0.5345830636274823,0.0039115833923962125
64,0.6519305653993689,0.5345830636274823,0.0039115833923962125
65,0.7425483739081217,0.6088896666046596,0.004455290243448729
66,0.7425483739081217,0.6088896666046596,0.004455290243448729
67,0.7768950947749216,0.6370539777154356,0.004661370568649528
68,0.8114459417224472,0.6653856722124065,0.004868675650334681
69,0.8114459417224472,0.6653856722124065,0.004868675650334681
70,0.9121580225686831,0.74796957850632,0.0054729481354120965
71,0.9121580225686831,0.74796957850632,0.0054729481354120965
72,1.0125344517333081,0.8302782504213126,0.006075206710399847
73,1.0125344517333081,0.8302782504213126,0.006075206710399847
74,1.064255849449736,0.8726897965487834,0.0063855350966984135
75,1.064255849449736,0.8726897965487834,0.0063855350966984135
76,1.064255849449736,0.8726897965487834,0.0063855350966984135
77,1.2162223673866581,0.9973023412570593,0.0072973342043199454
78,1.2162223673866581,0.9973023412570593,0.0072973342043199454
79,1.3351443055367402,1.0948183305401264,0.008010865833220438
80,1.3351443055367402,1.0948183305401264,0.008010865833220438
81,1.3552336849567115,1.111291621664503,0.008131402109740265
82,1.3552336849567115,1.111291621664503,0.008131402109740265
83,1.3552336849567115,1.111291621664503,0.008131402109740265
84,1.3953929757671815,1.1442222401290885,0.008372357854603085
85,1.3953929757671815,1.1442222401290885,0.008372357854603085
86,1.4419019201094079,1.182359574489714,0.008651411520656443
87,1.4419019201094079,1.182359574489714,0.008651411520656443
88,1.4567920360822433,1.194569469587439,0.008740752216493454
89,1.4567920360822433,1.194569469587439,0.008740752216493454
90,1.4567920360822433,1.194569469587439,0.008740752216493454
91,1.4567920360822433,1.194569469587439,0.008740752216493454
92,1.4567920360822433,1.194569469587439,0.008740752216493454
93,1.4567920360822433,1.194569469587439,0.008740752216493454
94,1.4567920360822433,1.194569469587439,0.008740752216493454
95,1.4702243588161787,1.2055839742292658,0.008821346152897066
96,1.4702243588161787,1.2055839742292658,0.008821346152897066
97,1.4719760033067288,1.2070203227115168,0.008831856019840366
98,1.4719760033067288,1.2070203227115168,0.008831856019840366
99,1.4719760033067288,1.2070203227115168,0.008831856019840366
100,1.4719760033067288,1.2070203227115168,0.008831856019840366
101,1.4719760033067288,1.2070203227115168,0.008831856019840366
102,1.4719760033067288,1.2070203227115168,0.008831856019840366
103,1.4719760033067288,1.2070203227115168,0.008831856019840366
104,1.4732646564850496,1.2080770183177398,0.008839587938910291
105,1.4732646564850496,1.2080770183177398,0.008839587938910291
106,1.4732646564850496,1.2080770183177398,0.008839587938910291
