step,total_absorbed,total_fixed,total_growth
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0.08084585464165575,0.06063439098124181,0.0009701502556998691
100,0.19370801017478365,0.14528100763108773,0.002324496122097404
101,0.28498165687470023,0.2137362426560252,0.003419779882496403
102,0.36225051181229984,0.27168788385922493,0.0043470061417475985
103,0.44174946624981365,0.3313120996873603,0.005300993594997764
104,0.44174946624981365,0.3313120996873603,0.005300993594997764
105,0.513045830713439,0.3847843730350793,0.006156549968561268
106,0.54433352383931,0.4082501428794825,0.00653200228607172
107,0.6011348370476379,0.45085112778572844,0.007213618044571655
108,0.7523039789202629,0.5642279841901972,0.009027647747043153
109,0.792576804302516,0.594432603226887,0.00951092165163019
110,0.8313153997432929,0.6234865498074696,0.009975784796919513
111,0.8536895026636268,0.64026712699772,0.010244274031963518
112,0.8861305376725355,0.6645979032544016,0.010633566452070423
113,0.8949303076751768,0.6711977307563826,0.01073916369210212
114,0.9217922523008584,0.6913441892256437,0.011061507027610298
115,0.9406840681113607,0.7055130510835205,0.011288208817336326
116,0.9603029921565219,0.7202272441173914,0.01152363590587826
117,0.9780859609192634,0.7335644706894475,0.011737031531031158
118,0.9901312082671532,0.7425984062003649,0.011881574499205837
119,1.0051063302422563,0.7538297476816922,0.012061275962907075
120,1.0051063302422563,0.7538297476816922,0.012061275962907075
121,1.0181799342786553,0.7636349507089915,0.012218159211343864
122,1.0265096613153877,0.7698822459865408,0.012318115935784652
123,1.0363247720674125,0.7772435790505594,0.01243589726480895
124,1.0529101300481376,0.7896825975361034,0.012634921560577652
125,1.160753130746594,0.8705648480599457,0.01392903756895913
126,1.2811756906750968,0.9608817680063229,0.015374108288101165
127,1.3227979630995743,0.992098472324681,0.015873575557194895
128,1.3288894481167113,0.9966670860875336,0.01594667337740054
129,1.395749202613816,1.0468119019603626,0.0167489904313658
130,1.400452502309585,1.0503393767321891,0.016805430027715024
131,1.4859695959801404,1.1144771969851057,0.01783163515176169
132,1.5583651684638384,1.1687738763478792,0.018700382021566066
133,1.6328501899256826,1.2246376424442624,0.0195942022791082
134,1.7281608255562604,1.296120619167196,0.020737929906675133
135,1.9262474912387764,1.4446856184290828,0.023114969894865327
136,1.9536783916459108,1.465258793734434,0.02344414069975094
137,2.003477881795054,1.5026084113462914,0.024041734581540658
138,2.0412681452455157,1.5309511089341379,0.024495217742946197
139,2.0765765924911967,1.5574324443683991,0.024918919109894376
140,2.217647197860044,1.6632353983950345,0.02661176637432054
141,2.309915043354577,1.7324362825159345,0.027718980520254934
142,2.3383571147100204,1.7537678360325173,0.028060285376520257
143,2.3788229758304538,1.7841172318728424,0.028545875709965456
144,2.5023479907253128,1.8767609930439868,0.030028175888703768
145,2.5946703212614715,1.946002740946106,0.03113604385513767
146,2.6905459537908887,2.0179094653431693,0.032286551445490676
147,2.7774494646283867,2.0830870984712924,0.03332939357554065
148,2.8363133302406833,2.1272349976805147,0.034035759962888205
149,2.9094951871184205,2.1821213903388177,0.03491394224542105
