Step,Absorbed_CO2
0,350.0953094356033
1,572.9232754327952
2,729.2707896086621
3,861.6003662353969
4,971.6380644284752
5,1073.8362927764272
6,1165.7664455300055
7,1256.8296376806616
8,1337.2808597166086
9,1415.2902033317725
10,1493.7817837314908
11,1570.7519287199161
12,1643.0516002940678
13,1712.08443782201
14,1780.1510204721706
15,1849.8292271439077
16,1914.4672165746529
17,1974.9006471307155
18,2038.8356589257303
19,2102.147765418166
20,2167.747993505028
21,2232.8730725729242
22,2300.856183890594
23,2364.649919350896
24,2423.8685803543576
25,2488.531851096409
26,2551.4864734556113
27,2614.047542743886
28,2676.6866954788266
29,2737.052952276776
30,2804.9660281712745
31,2865.163887820383
32,2923.369161313204
33,2984.920916909458
34,3049.056426467781
35,3110.2053870662207
36,3170.360098102723
37,3231.626352988619
38,3291.2152444922153
39,3348.6998672035315
40,3409.2300632022534
41,3467.9988889590104
42,3532.494437854026
43,3592.6731962227527
44,3654.52356439865
45,3711.954978209288
46,3772.162846938899
47,3835.316044804866
48,3894.4581130183014
49,3950.577417432765
50,4008.7693079567043
51,4069.5884864050054
52,4130.760098201951
53,4189.634267376641
54,4248.691848660051
55,4313.746653530404
56,4378.879699962179
57,4436.323166652856
58,4497.641002545963
59,4562.952526498056
60,4623.2450662558
61,4679.24534774534
62,4740.818154443788
63,4798.644394487085
64,4861.075852768234
65,4915.569164059812
66,4974.624372790402
67,5036.336557917499
68,5093.421986001167
69,5153.319410922142
70,5219.017397001196
71,5275.948191349112
72,5337.320335194142
73,5399.271388509233
74,5461.951553394429
75,5523.222760869504
76,5586.09622151094
77,5649.312452245607
78,5708.375094099771
79,5768.493215399054
80,5825.950772320241
81,5883.414009429037
82,5946.715876735324
83,6007.409751618375
84,6069.87003379289
85,6129.659064929606
86,6186.772816170635
87,6246.138968541077
88,6304.323508281953
89,6362.396599887021
90,6422.137874571944
91,6483.851709508208
92,6543.928843652603
93,6606.221573535882
94,6662.83298030789
95,6721.494785802769
96,6784.449006760847
97,6841.651467624655
98,6898.3985071823
99,6958.030386236053
