Step,Absorbed_CO2
0,303.37217585715274
1,552.1131609879722
2,714.5024935235958
3,850.2048464019434
4,962.5025873081773
5,1066.3412480935624
6,1159.518598098239
7,1251.5598261138593
8,1332.7953303986844
9,1411.4442976749217
10,1490.4644496657538
11,1567.8760272215745
12,1640.5475455389808
13,1709.8958622312243
14,1778.2317241582025
15,1848.14097192885
16,1912.978092806403
17,1973.583839665944
18,2037.6684980742384
19,2101.110985754768
20,2166.8251472684397
21,2232.050060028674
22,2300.1208735621367
23,2363.991838248454
24,2423.27865938638
25,2488.002214449772
26,2551.0102633394804
27,2613.618772811913
28,2676.300127677786
29,2736.7039929545913
30,2804.65064010867
31,2864.878515494675
32,2923.110667207268
33,2984.6865270777134
34,3048.843683888955
35,3110.012111568013
36,3170.184351850027
37,3231.4664106950095
38,3291.069567651906
39,3348.5670817540667
40,3409.108940121563
41,3467.888327377873
42,3532.393450329412
43,3592.580895871315
44,3654.4391536346566
45,3711.87773886914
46,3772.0921316062054
47,3835.251269176936
48,3894.398749177635
49,3950.522987906403
50,4008.719380462651
51,4069.5426691988678
52,4130.718035948811
53,4189.595637483309
54,4248.656358011521
55,4313.714035581779
56,4378.849712143687
57,4436.295588051076
58,4497.615631829117
59,4562.929180057264
60,4623.223576537738
61,4679.225561754778
62,4740.799932397116
63,4798.627608600234
64,4861.06038616438
65,4915.554909783985
66,4974.611232919633
67,5036.324442756452
68,5093.410813354364
69,5153.309105434874
70,5219.007889562141
71,5275.939418548406
72,5337.312238831376
73,5399.263915146421
74,5461.9446539495475
75,5523.216390246647
76,5586.09033826357
77,5649.307018269737
78,5708.370074354243
79,5768.488577650376
80,5825.9464869096755
81,5883.410049059902
82,5946.712216278643
83,6007.406367935198
84,6069.866905571792
85,6129.656172537976
86,6186.770141518549
87,6246.136494956618
88,6304.321220396978
89,6362.394483532458
90,6422.1359166817865
91,6483.849898031449
92,6543.927167472433
93,6606.220022395519
94,6662.831544742475
95,6721.493457076824
96,6784.447776810804
97,6841.650329006047
98,6898.397453021215
99,6958.029410184497
