Step,Absorbed_CO2
0,279.4214204856845
1,541.7231692439506
2,705.6321893829538
3,841.5647960149424
4,953.7225366801897
5,1057.2831944855877
6,1150.1310499068986
7,1241.8297130427486
8,1322.7280471726556
9,1401.0541957611247
10,1479.7699383196173
11,1556.8969513128284
12,1629.3037718256182
13,1698.4065357039933
14,1766.514904493622
15,1836.2134866204826
16,1900.8555121469262
17,1961.280517712781
18,2025.1976465946072
19,2088.4847618463655
20,2154.054743648094
21,2219.145792009711
22,2287.0922597632643
23,2350.8476738584286
24,2410.0270818234085
25,2474.650761798943
26,2537.5659262117997
27,2600.0880403616566
28,2662.689028513773
29,2723.0181316304192
30,2790.8952298040267
31,2851.058407420295
32,2909.2303771887355
33,2970.750259702565
34,3034.855354539304
35,3095.9753666075353
36,3156.102587189237
37,3217.342788921415
38,3276.907033880931
39,3334.3683783315482
40,3394.8766202882225
41,3453.6247679896505
42,3518.100863714165
43,3578.261340891552
44,3640.094546017206
45,3697.509860855485
46,3757.702640971374
47,3820.841707660012
48,3879.9705503629384
49,3936.077484591025
50,3994.2578115431666
51,4055.066186107587
52,4116.227708667782
53,4175.092460162398
54,4234.141254215203
55,4299.187863187732
56,4364.313267914906
57,4421.749611901931
58,4483.060810804561
59,4548.366152043325
60,4608.65293372034
61,4664.64785384297
62,4726.215669625857
63,4784.037264526982
64,4846.464400272912
65,4900.953689908075
66,4960.005157498452
67,5021.713862932854
68,5078.796054926525
69,5138.690470671135
70,5204.385658888252
71,5261.313852115845
72,5322.683577974823
73,5384.632383737979
74,5447.310459656806
75,5508.579725701228
76,5571.451382146349
77,5634.665936318552
78,5693.727020299486
79,5753.84369408353
80,5811.299906089504
81,5868.761893660684
82,5932.062600084556
83,5992.755396484658
84,6055.214676755307
85,6115.002777152825
86,6172.115663783368
87,6231.481012988757
88,6289.664806655296
89,6347.737205228037
90,6407.47783615887
91,6469.191073120747
92,6529.267651818791
93,6591.5598657617875
94,6648.17079329132
95,6706.83215363205
96,6769.785961099695
97,6826.988037884086
98,6883.734720680465
99,6943.366268346831
